"unique_ter_id","transect","nvisits","sp_name","sp_english","sp_code","pop_den","imperv","tcd","light","noise","veg_pca1","veg_pca2","ndvi","glcm","glcm_hmg"
"BE16_T_16_Pacaer","be16",1,"Cyanistes caeruleus","Eurasian Blue Tit","Pacaer",3.67071693413891,46.9945001733303,32.49,7.04112491607666,73.8420606231689,2531.79367278814,-329.861993486881,0.264280100878968,0.632410937026143,0.516716343909502
"BE16_T_16_Pamajo","be16",2,"Parus major","Great Tit","Pamajo",8.15752670168877,61.1515327453613,2.03,4.76456594467163,65.2032012939453,1318.79621262431,782.302740881294,0.200513098883966,0.602856250554323,0.537681176513434
"BE16_T_16_Stvulg","be16",1,"Sturnus vulgaris","Common Starling","Stvulg",24.790447616484,26.7525768041611,37.86,7.07268285751343,62.457520980835,112.003657573201,333.372480755448,0.298086270606145,0.665312500149012,0.473358281180263
"BE16_T_16_Tumeru","be16",1,"Turdus merula","Common Blackbird","Tumeru",8.15752670168877,61.1515327453613,2.03,4.76456594467163,65.2032012939453,1318.79621262431,782.302740881294,0.200513098883966,0.602856250554323,0.537681176513434
"BE16_T_17_Pacaer","be16",3,"Cyanistes caeruleus","Eurasian Blue Tit","Pacaer",23.7985796956345,27.1762068271637,30.48,6.44683723449707,62.1988984298706,53.7189784812927,218.074399961233,0.310882468703203,0.67412812396884,0.466639277338982
"BE16_T_17_Pamajo","be16",2,"Parus major","Great Tit","Pamajo",7.08073316351511,56.1929442024231,5.27,4.76456594467163,71.7063079071045,895.728877694607,825.110437269807,0.212248439855175,0.607207813113928,0.566239685490727
"BE16_T_17_Stvulg","be16",2,"Sturnus vulgaris","Common Starling","Stvulg",23.7985796956345,27.1762068271637,30.48,6.44683723449707,62.1988984298706,53.7189784812927,218.074399961233,0.310882468703203,0.67412812396884,0.466639277338982
"BE16_T_17_Tumeru","be16",3,"Turdus merula","Common Blackbird","Tumeru",7.08073316351511,56.1929442024231,5.27,4.76456594467163,71.7063079071045,895.728877694607,825.110437269807,0.212248439855175,0.607207813113928,0.566239685490727
"BE16_T_18_Pacaer","be16",2,"Cyanistes caeruleus","Eurasian Blue Tit","Pacaer",17.6481737308204,13.7830322811008,46.7,6.32625169754028,64.7346018218994,-305.238457245827,-430.095335112214,0.396875378210098,0.723931250870228,0.498641142398119
"BE16_T_18_Pamajo","be16",1,"Parus major","Great Tit","Pamajo",8.15752670168877,52.0221499347687,7.75,4.76456594467163,65.7844714355469,850.867352132797,702.16852263093,0.226546393404133,0.619560938328505,0.570679412484169
"BE16_T_18_Stvulg","be16",1,"Sturnus vulgaris","Common Starling","Stvulg",22.2034675492905,28.0837956380844,28.36,6.3772988319397,62.4451623153687,69.0725629332662,165.061618055403,0.32739683666965,0.678856250792742,0.431169614885002
"BE16_T_18_Tumeru","be16",1,"Turdus merula","Common Blackbird","Tumeru",5.76520700450055,52.1140961647034,13.84,4.76456594467163,76.1477137756348,600.688359937668,1020.22445642233,0.203350791069352,0.603564062640071,0.555691177770495
"BE16_T_19_Pacaer","be16",1,"Cyanistes caeruleus","Eurasian Blue Tit","Pacaer",19.3326538843103,22.6148125457764,35.93,7.39395467281342,63.688271446228,-150.728381814733,41.1826948261261,0.337115039713681,0.6878078122437,0.423870181068778
"BE16_T_19_Pamajo","be16",1,"Parus major","Great Tit","Pamajo",23.8620324139483,27.0891619801521,24.28,5.07090554237366,63.9675007247925,340.000537562054,216.379512188435,0.291846085223369,0.66013593763113,0.497037149816751
"BE16_T_19_Stvulg","be16",1,"Sturnus vulgaris","Common Starling","Stvulg",19.3326538843103,22.6148125457764,35.93,7.39395467281342,63.688271446228,-150.728381814733,41.1826948261261,0.337115039713681,0.6878078122437,0.423870181068778
"BE16_T_19_Tumeru","be16",1,"Turdus merula","Common Blackbird","Tumeru",17.6481737308204,13.7830322811008,46.7,6.32625169754028,64.7346018218994,-305.238457245827,-430.095335112214,0.396875378210098,0.723931250870228,0.498641142398119
